City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,polyarnyy,69.1989,33.4478,13.07000000000005,67,100,7.21,RU,1684774369
127,karratha,-20.7377,116.8463,18.870000000000005,54,26,3.99,AU,1684773781
128,wailua homesteads,22.0669,-159.378,23.439999999999998,87,100,7.2,US,1684773912
129,mount isa,-20.7333,139.5,5.8700000000000045,61,3,2.57,AU,1684773923
130,guatrache,-37.6678,-63.5302,16.77000000000004,63,91,3.57,AR,1684774369
131,fortaleza,-3.7227,-38.5247,30.07000000000005,70,40,5.14,BR,1684774200
132,luderitz,-26.6481,15.1594,14.160000000000025,83,4,3.24,NA,1684773968
133,kerikeri,-35.2268,173.9474,12.170000000000016,95,95,2.05,NZ,1684774369
134,chibougamau,49.9168,-74.3659,3.7900000000000205,33,0,0.0,CA,1684774369
135,thompson,55.7435,-97.8558,12.090000000000032,47,75,2.57,CA,1684773746
136,nemuro,43.3236,145.575,5.830000000000041,90,94,4.37,JP,1684773911
137,kurnool,15.8309,78.0425,34.73000000000002,34,96,5.6,IN,1684774369
138,colonia,50.9333,6.95,24.210000000000036,69,20,5.14,DE,1684773662
139,jinka,5.65,36.65,19.960000000000036,77,100,1.49,ET,1684774370
140,san antonio oeste,-40.7319,-64.9477,15.850000000000023,45,30,1.14,AR,1684774076
141,cartagena,10.3997,-75.5144,28.79000000000002,79,75,0.0,CO,1684774090
142,college,64.8569,-147.8028,9.770000000000039,79,100,4.63,US,1684773918
143,kappeln,54.6612,9.9313,19.970000000000027,89,96,4.0,DE,1684774370
144,pathein,16.7833,94.7333,28.0,82,17,4.7,MM,1684774370
145,egilsstadir,65.2653,-14.3948,11.950000000000045,32,0,8.23,IS,1684773964
146,saint-francois,46.4154,3.9054,22.689999999999998,60,20,4.12,FR,1684773993
147,talnakh,69.4865,88.3972,0.6700000000000159,98,100,2.82,RU,1684773952
148,martapura,-3.4167,114.85,23.32000000000005,89,32,0.77,ID,1684774025
149,seryshevo,51.0933,128.3786,12.230000000000018,43,3,0.51,RU,1684774370
